reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
179e2c16-8898-4086-96ff-b897f0284ac4,Google 使用者,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,更新後完全登入不進去，請立即改善。,1,0,3.15.1219,2017-12-29 18:17:05,有關本行行動網銀app交易係因帳務主機交易量大處理回應緩慢，致使行動網銀app交易遲緩，未能及時提供您相關服務，造成困擾，甚感抱歉。,2018-01-11 11:02:41,3.15.1219
781b02f8-bc78-4240-bb9e-45b2d9ccd61f,Google 使用者,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,希望可以新增圖形手勢或是指紋登入,3,0,3.15.1219,2017-12-22 16:00:34,您好，感謝您寶貴的建議，未來改版會納入考量。,2018-01-03 09:53:23,3.15.1219
ed390033-a91c-4146-bde7-d4533145e9ba,Google 使用者,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,按五顆星的自己員工逆？ 載入都無法進入的app 有沒有搞錯啊 錢不是這樣花的阿大哥,1,7,3.15.1219,2017-12-21 12:25:16,您好，已於2017/12/20更新版本，請下載使用。,2018-01-03 09:54:09,3.15.1219
7eb57a03-e2dc-4bba-a0bd-9a059d6c0254,Google 使用者,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,平安，很好。,5,1,3.15.1219,2017-12-20 16:00:13,,,3.15.1219
90a8f503-05a0-4459-9b53-a9d57439cc7b,Google 使用者,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,為什麼沒有台幣定存,3,0,3.15.1219,2017-12-20 08:43:32,您好，台幣定存功能須洽營業單位辦理。,2017-12-25 09:32:37,3.15.1219
07934180-e2b7-4e96-9c27-194866b8cec4,Google 使用者,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,請問什麼是網路連線代號，跟密碼，那是要輸入什麼？,3,1,3.15.1219,2017-12-20 00:29:05,您好，請輸入合庫個人網銀資料即可登入使用。,2017-12-25 09:32:53,3.15.1219
2642a235-4d6c-4e53-af83-53633b5bb567,Google 使用者,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,啟動初始化問題已解決，謝謝!,5,2,3.15.1219,2017-12-19 16:13:05,,,3.15.1219
9ffe0875-68d6-436c-b84a-d661a6dc7c1a,Google 使用者,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,更新之後就無法登入！,1,1,3.15.1204,2017-12-18 06:53:15,您好，已於2017/12/20更新版本，請下載使用。,2017-12-25 09:33:14,3.15.1204
d622f8b3-8edd-4b5c-ab33-643e15c1f6b5,Google 使用者,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,爛 亂改一通 不要沒測就強制更新 造成使用者不便 更本無法進入,1,0,,2017-12-16 09:26:43,您好，已於2017/12/20更新版本，請下載使用。,2017-12-25 09:33:21,
1b6f2079-1f2d-4ead-9d1a-7db21e6c9322,Google 使用者,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,“請選擇目前您的轉帳機制” 根本無法選擇 更新一個爛版本  快處理吧,1,1,3.15.1204,2017-12-15 21:29:04,您好，已於2017/12/20更新版本，請下載使用。,2017-12-25 09:33:35,3.15.1204
